nm0194945,Jehanne d'Alcy
nm0807871,David Smith
nm0403151,Fred Huntley
nm0376221,Joseph Henabery
nm0589105,Patsy Ruth Miller
nm0884388,Rudolph Valentino
nm0398446,Arthur Hoyt
nm0863193,Zeffie Tilbury
nm0806605,Ray C. Smallwood
nm0357219,Harry Ham
nm0686421,René Plaissetty
nm0003425,Asta Nielsen
nm0300544,Svend Gade
nm0769942,Heinz Schall
nm0050846,Hugo Ballin
nm0001067,Jackie Coogan
nm0588033,Carl Miller
nm0042317,Albert Austin
nm0048798,Nellie Bly Baker
nm0080930,Edward Biby
nm0418079,Walter Janssen
nm0321088,Dorothy Gish
nm0771584,Joseph Schildkraut
nm0726256,Johannes Riemann
nm0002154,Alfred Abel
nm0118266,Dimitri Buchowetzki
nm1273248,Otto Treptow
nm0497759,Lila Lee
nm0275941,George Field
nm0002188,Dorothy Arzner
nm0054830,Bradley Barker
nm0689737,Eddie Polo
nm0454535,Burton L. King
nm0569645,J.P. McGowan
nm0000370,Walt Disney
nm0000252,Robert Ellis
nm0281808,Victor Fleming
nm0366742,Pat Hartigan
nm0623417,Alla Nazimova
nm0207637,Nigel De Brulier
nm0117065,Charles Bryant
nm0694302,Russ Powell
nm0075960,Paul Bern
nm0444641,Frank Keenan
nm0280904,Robert J. Flaherty
nm0515979,Frank Lloyd
nm0519765,Theodor Loos
nm0245385,Allan Dwan
nm0286379,Tom Forman
nm0950019,Roland Young
nm0662032,Albert Parker
nm0594291,Tom Mix
nm0531759,J. Farrell MacDonald
nm0430187,Sid Jordan
nm0721840,Lynn Reynolds
nm0118701,William Buckley
nm0798130,Milton Sills
nm0467185,Theodore Kosloff
nm0269771,Louise Fazenda
nm0454771,Henry King
nm0941637,Wallace Worsley
nm0682000,Molly Picon
nm0435748,Jacob Kalich
nm0325670,Sidney M. Goldin
nm0009257,Ivan Abramson
nm0696679,Marie Prevost
nm0341586,Raymond Griffith
nm0907885,Johnnie Walker
nm0046082,Clarence G. Badger
nm0408937,Lloyd Ingraham
nm0855935,Alice Terry
nm0003895,Ramon Novarro
nm0832011,Lewis Stone
nm0002271,Rex Ingram
nm0047534,William Bailey
nm0427659,Buck Jones
nm0745904,Gloria Roy
nm0607864,Edmund Mortimer
nm0749484,Wesley Ruggles
nm0003377,Harry Langdon
nm0219783,Vernon Dent
nm0250034,Harry Edwards
nm0007220,Ricardo Cortez
nm0249187,Robert Edeson
nm0210352,William C. de Mille
nm0269493,George Fawcett
nm0907386,Ethel Wales
nm0478851,Laura La Plante
nm0394407,Hedda Hopper
nm0896542,King Vidor
nm0003638,F.W. Murnau
nm0341464,Corinne Griffith
nm0853604,Conway Tearle
nm0227020,John Francis Dillon
nm0228715,Richard Dix
nm0517574,Jacqueline Logan
nm0797094,George Siegmann
nm0122944,R.H. Burnside
nm0805790,Walter Slezak
nm0003433,Carl Theodor Dreyer
nm0868458,Ernest Torrence
nm0707803,Esther Ralston
nm0017893,Grigoriy Aleksandrov
nm0795500,Maksim Shtraukh
nm0327150,Mikhail Gomorov
nm0001178,Sergei M. Eisenstein
nm0619261,Conrad Nagel
nm0718201,Lotte Reiniger
nm0062828,Warner Baxter
nm0318171,Mercedes Gilbert
nm0584778,Oscar Micheaux
nm0478942,Rod La Rocque
nm0396768,Arthur Housman
nm0031446,Aleksandr Antonov
nm0058290,Vladimir Barskiy
nm0040090,Gertrude Astor
nm0736610,Albert S. Rogell
nm0628345,Fred C. Newmeyer
nm0853130,Sam Taylor
nm0841501,Mack Swain
nm0354913,Georgia Hale
nm0549385,Percy Marmont
nm0001935,Noah Beery
nm0001211,W.C. Fields
nm0017578,Erville Alderson
nm0085877,Carlyle Blackwell
nm0208113,Leander De Cordova
nm0760547,G.B. Samuelson
nm0172903,Ronald Colman
nm0380965,Jean Hersholt
nm0275494,Jacques Feyder
nm0642063,Sally O'Neil
nm0417012,Walter James
nm0358076,Neil Hamilton
nm0285391,Ralph Forbes
nm0101038,Charles R. Bowers
nm0252472,Gösta Ekman
nm0394806,Camilla Horn
nm0193005,Frank Currier
nm0177598,Frank Cooley
nm0174692,Heinie Conklin
nm0090007,John G. Blystone
nm0686032,Zasu Pitts
nm0699877,Vsevolod Pudovkin
nm0297054,Gustav Fröhlich
nm0459030,Rudolf Klein-Rogge
nm0001076,Joan Crawford
nm0332539,Edmund Goulding
nm0588928,Mary Louise Miller
nm0064415,William Beaudine
nm0573743,Tom McNamara
nm0848232,Norma Talmadge
nm0738042,Gilbert Roland
nm0822477,Forrest Stanley
nm0501902,Paul Leni
nm0878927,Tom Tyler
nm0528800,Sharon Lynn
nm0122590,Bob Burns
nm0209458,Robert De Lacey
nm0716162,Bob Reeves
nm0889511,Victor Varconi
nm0882160,Frank Urson
nm0329467,Harold Goodwin
nm0395023,James W. Horne
nm0792514,Lowell Sherman
nm0533108,Dorothy Mackaill
nm0171873,William Collier Jr.
nm0336770,Lawrence Gray
nm0578985,Lothar Mendes
nm0001316,Oliver Hardy
nm0042552,William Austin
nm0347451,Fred Guiol
nm0466773,Bob Kortman
nm0533045,Marion Mack
nm0115669,Clyde Bruckman
nm0802512,Pyotr Zinovyev
nm0575963,Aleksandr Medvedkin
nm0001966,Clara Bow
nm0603875,Antonio Moreno
nm0903049,Josef von Sternberg
nm0427231,Al Jolson
nm0645941,Warner Oland
nm0189076,Alan Crosland
nm0000011,Gary Cooper
nm0697944,Herbert Prior
nm0318105,John Gilbert
nm0001256,Greta Garbo
nm0736777,Charles 'Buddy' Rogers
nm0514707,Lucien Littlefield
nm0226387,Albert Dieudonné
nm0885965,Edmond Van Daële
nm0304098,Abel Gance
nm0796900,Bernard Siegel
nm0807742,Clifford Smith
nm0671501,Scott Pembroke
nm0003123,Dolores del Rio
nm0136888,Edwin Carewe
nm0392442,Jack Holt
nm0112897,Otto Brower
nm0079645,Billy Bevan
nm0167395,Andy Clyde
nm0412235,Joris Ivens
nm0035877,Robert Armstrong
nm0176971,Clyde Cook
nm0307819,Tay Garnett
nm0213581,Jean Debucourt
nm0258477,Jean Epstein
nm0305087,Al Ernest Garcia
nm0188357,Harry Crocker
nm0522926,Edmund Lowe
nm0000802,Mary Astor
nm0054133,Ben Bard
nm0674986,Bob Perry
nm0354313,William Haines
nm0242642,Josephine Dunn
nm0250240,Neely Edwards
nm0916410,Melville Webber
nm0914682,James Sibley Watson
nm0858977,Jameson Thomas
nm0363104,Gordon Harker
nm0000033,Alfred Hitchcock
nm0035159,Richard Arlen
nm0942039,Fay Wray
nm0111612,Clive Brook
nm0001635,William Powell
nm0774325,Ernest B. Schoedsack
nm0226189,William Dieterle
nm0376264,Paul Henckels
nm0455938,Teinosuke Kinugasa
nm0756870,Tatsuo Saitô
nm0654868,Yasujirô Ozu
nm0917857,F. Harmon Weight
nm0874781,Olga Tschechowa
nm0336618,Eve Gray
nm0103113,Jean Bradin
nm0874575,Georges Tréville
nm0243295,Ewald André Dupont
nm0047720,Mary Brian
nm0833965,Frank R. Strayer
nm0101955,William Boyd
nm0383304,Howard Higgin
nm0597995,William V. Mong
nm0913405,Blue Washington
nm0782707,George B. Seitz
nm0295992,Willy Fritsch
nm0828314,Charles Stevens
nm0892473,Lupe Velez
nm0606431,Chester Morris
nm0835913,Harry Stubbs
nm0123994,Mae Busch
nm0922327,Roland West
nm0346914,Yvette Guilbert
nm0478303,Marcel L'Herbier
nm0002143,Edward Everett Horton
nm0602905,Lee Moran
nm0215877,Roy Del Ruth
nm0355408,Charlie Hall
nm0564970,Leo McCarey
nm0198847,Lili Damita
nm0868799,Raquel Torres
nm0023147,Don Alvarado
nm0102643,Charles Brabin
nm0896533,Charles Vidor
nm0387791,Werner Hochbaum
nm2580347,The Marx Brothers
nm0000050,Groucho Marx
nm0555617,Harpo Marx
nm0555597,Chico Marx
nm0555688,Zeppo Marx
nm0282984,Robert Florey
nm0763798,Joseph Santley
nm0371438,Daniel L. Haynes
nm0571904,Nina Mae McKinney
nm0444740,Tom Keene
nm0599976,Carlotta Monti
nm0654239,Reginald Owen
nm0003339,Herbert Marshall
nm0510839,Jean de Limur
nm0054977,Reginald Barker
nm0639563,George O'Brien
nm0002031,Michael Curtiz
nm0336660,Gilda Gray
nm0938923,Anna May Wong
nm0728509,Cyril Ritchard
nm2544110,King Hou Chang
nm0291259,Mannus Franken
nm0363227,Otis Harlan
nm0689471,Harry A. Pollard
nm0372609,Arch Heath
nm0089524,Monte Blue
nm0173993,Betty Compson
nm0206333,Alice Day
nm0258015,Ray Enright
nm0656105,Anita Page
nm0199322,Karl Dane
nm0064600,Harry Beaumont
nm0000817,Lew Ayres
nm0938464,Louis Wolheim
nm0942046,John Wray
nm0587277,Lewis Milestone
nm0373511,Victor Heerman
nm0454559,Charles King
nm0000078,John Wayne
nm0107151,El Brendel
nm0909825,Raoul Walsh
nm0517264,Louis R. Loeffler
nm0000017,Marlene Dietrich
nm0314777,Kurt Gerron
nm0233230,Hilda Doolittle
nm0534226,Kenneth MacPherson
nm0037742,Charlotte Arthur
nm0269567,Frank Fay
nm0689461,Daphne Pollard
nm0522281,Bessie Love
nm0817021,Ned Sparks
nm0872463,Hugh Trevor
nm0495519,Ivan Lebedeff
nm0867538,Regis Toomey
nm0002179,George Archainbaud
nm0492557,Mary Lawlor
nm0810000,Stanley Smith
nm0249893,Cliff Edwards
nm0342417,Nick Grinde
nm0528908,Ben Lyon
nm0355671,James Hall
nm0001318,Jean Harlow
nm0001843,James Whale
nm0007216,Nancy Carroll
nm0337894,Harry Green
nm0744917,Lillian Roth
nm0302480,Richard 'Skeets' Gallagher
nm0816123,Eve Southern
nm0466099,Alexander Korda
nm0196089,Alves da Cunha
nm0500749,José Leitão de Barros
nm0000064,Edward G. Robinson
nm0001195,Douglas Fairbanks Jr.
nm0268225,Glenda Farrell
nm0503777,Mervyn LeRoy
nm0533247,Kenneth MacKenna
nm0896826,Berthold Viertel
nm0000910,Joan Bennett
nm0400763,Lloyd Hughes
nm0425903,Noble Johnson
nm0152361,Edward Chapman
nm0517389,Jeanette Loff
nm0356931,Victor Halperin
nm0001485,Myrna Loy
nm0310843,Gregory Gaye
nm0330200,Gavin Gordon
nm0637790,Elliott Nugent
nm0403636,Paul Hurst
nm0063915,Matthew 'Stymie' Beard
nm0178114,Jackie Cooper
nm0569697,Robert F. McGowan
nm0412650,Ub Iwerks
nm0559306,Maria Matray
nm0547998,Oscar Marion
nm0633394,Manfred Noa
nm0813216,Yuliya Solntseva
nm0235590,Aleksandr Dovzhenko
nm0191386,Shamus Culhane
nm0245579,Franklin Dyall
nm0019922,Elizabeth Allan
nm0731182,J.H. Roberts
nm0386785,Leslie S. Hiscott
nm0689455,Bud Pollard
nm0878546,Helen Twelvetrees
nm0308249,John Garrick
nm0706926,Raimu
nm0002165,Marc Allégret
nm0268190,Charles Farrell
nm0484748,Elissa Landi
nm0000007,Humphrey Bogart
nm0763453,Alfred Santell
nm0214168,Frances Dee
nm0448366,Tom Kennedy
nm0806143,Edward Sloman
nm0123667,Martin Burton
nm0723658,Irene Rich
nm0040374,Roscoe Ates
nm5681967,Florence Lee
nm0616729,Harry Myers
nm0310980,Janet Gaynor
nm0580916,Una Merkel
nm0035138,John Arledge
nm0151377,Helen Chandler
nm0807580,C. Aubrey Smith
nm0000509,Bela Lugosi
nm0543115,David Manners
nm0005713,Karl Freund
nm0140914,Madeleine Carroll
nm0541766,Miles Mander
nm0166972,Colin Clive
nm0164883,Mae Clarke
nm0000472,Boris Karloff
nm0092900,John Boles
nm0579663,Adolphe Menjou
nm0002285,Pat O'Brien
nm0436922,Fritz Kampers
nm0067033,Hans Behrendt
nm0002050,Irene Dunne
nm0841797,Gloria Swanson
nm0611804,Jack Mulhall
nm0191870,Constance Cummings
nm0448915,Erle C. Kenton
nm0000048,Peter Lorre
nm0921532,Otto Wernicke
nm0803705,Victor Sjöström
nm0116309,Pauline Brunius
nm0481270,Sture Lagerwall
nm0032243,Brita Appelgren
nm0030246,Annabella
nm0499151,René Lefèvre
nm0647378,Paul Ollivier
nm0163229,René Clair
nm0572851,Norman Z. McLeod
nm0158166,Boris Chirkov
nm0476802,Yelena Kuzmina
nm0314046,Sergey Gerasimov
nm0468882,Grigoriy Kozintsev
nm0871185,Leonid Trauberg
nm0949835,Loretta Young
nm0931551,Robert Williams
nm0387561,Halliwell Hobbes
nm0001008,Frank Capra
nm0000022,Clark Gable
nm0285922,Wallace Ford
nm0790454,Norma Shearer
nm0599910,Robert Montgomery
nm0219666,Reginald Denny
nm0291548,Sidney Franklin
nm0024739,Robert Ames
nm0341486,Edward H. Griffith
nm0047281,Harry Bailey
nm0287888,John Foster
nm0445033,William Keighley
nm0746399,Frank Rowan
nm0616893,Zion Myers
nm0925028,Jules White
nm0738305,Henri Rollan
nm0224543,Henri Diamant-Berger
nm0051447,Bill Bambridge
nm0800302,Michel Simon
nm0311790,Jean Gehret
nm0719756,Jean Renoir
nm0140504,Leo Carrillo
nm0601129,Dickie Moore
nm0671738,Nat Pendleton
nm0865298,Thelma Todd
nm0782597,Lewis Seiler
nm0217303,Claudia Dell
nm0276354,Stanley Fields
nm0831577,Benjamin Stoloff
nm0737259,Will Rogers
nm0429923,Dorothy Jordan
nm0447339,Matty Kemp
nm0124877,David Butler
nm0137638,Mary Carlisle
nm0545298,Fredric March
nm0394244,Miriam Hopkins
nm0387556,Rose Hobart
nm0541149,Rouben Mamoulian
nm0394477,Russell Hopton
nm0267912,William Farnum
nm0783041,Charles Sellon
nm0640248,William A. O'Connor
nm0912751,Bruce Warren
nm0237597,Marie Dressler
nm0188673,Richard Cromwell
nm0001443,Hedy Lamarr
nm0532561,Gustav Machatý
nm0167113,Louise Closser Hale
nm0001890,Hugh Herbert
nm0614515,Maurice Murphy
nm0371040,Helen Hayes
nm0680102,Mary Philips
nm0226502,Dudley Digges
nm0397678,William K. Howard
nm0001766,Barbara Stanwyck
nm0000897,Ralph Bellamy
nm0677125,Dorothy Peterson
nm0404885,Leila Hyams
nm0186276,Roland Crandall
nm0612847,Paul Muni
nm0290271,Noel Francis
nm0102718,Sidney Bracey
nm0712730,Albert Ray
nm0169067,Frank Coghlan Jr.
nm0066247,Ford Beebe
nm0247484,B. Reeves Eason
nm0404158,Walter Huston
nm0128715,Edward L. Cahn
nm0357894,Hale Hamilton
nm0293260,Thornton Freeland
nm0002001,Maurice Chevalier
nm0749476,Charles Ruggles
nm0125325,Charles Butterworth
nm0000026,Cary Grant
nm0681635,Irving Pichel
nm0314351,Marion Gering
nm0513325,Leon M. Lion
nm0130740,Donald Calthrop
nm0329839,Andrei Gorchilin
nm0231151,Mikhail Doller
nm0245304,Ann Dvorak
nm0605904,Karen Morley
nm0001328,Howard Hawks
nm0744514,Richard Rosson
nm0612743,Herbert Mundin
nm0000010,James Cagney
nm0831889,George E. Stone
nm0452128,Guy Kibbee
nm0306723,Vladimir Gardin
nm0259611,Fridrikh Ermler
nm0951170,Sergei Yutkevich
nm0363414,Hugh Harman
nm0411208,Rudolf Ising
nm0000909,Constance Bennett
nm0566948,Joel McCrea
nm0356568,John Halliday
nm0447125,Pert Kelton
nm0478441,Gregory La Cava
nm0456628,Alexander Kirkland
nm0005847,Phil Rosen
nm0118014,Jack Buchanan
nm0350324,Edmund Gwenn
nm0057412,Wendy Barrie
nm0232196,Robert Donat
nm0466113,Zoltan Korda
nm0448987,Doris Kenyon
nm0422436,Isabel Jewell
nm0943758,William Wyler
nm0300064,Jean Gabin
nm0142120,Pauline Carton
nm0655065,Georg Wilhelm Pabst
nm0002030,George Cukor
nm0294137,Lloyd French
nm0371025,George 'Gabby' Hayes
nm0292134,Harry L. Fraser
nm0362567,Cedric Hardwicke
nm0405324,Dorothy Hyson
nm0403054,T. Hayes Hunter
nm0526950,Stanley Lupino
nm0166582,Laddie Cliff
nm0299484,Will Fyffe
nm0889024,Charles Vanel
nm0095267,Henry Bonvallet
nm0922213,Mae West
nm0711855,Gregory Ratoff
nm0036427,Edward Arnold
nm0127677,Bruce Cabot
nm0717046,Frank Reicher
nm0185568,Buster Crabbe
nm0866010,Sidney Toler
nm0922851,Nydia Westman
nm0401680,H. Bruce Humberstone
nm0545730,Max Marcin
nm0000031,Katharine Hepburn
nm0510134,Paul Lukas
nm0646829,Edna May Oliver
nm0906769,Douglas Wakefield
nm6715778,Billy Nelson
nm0059374,Jack Barty
nm0054036,Don Barclay
nm0663613,James Parrott
nm0515967,Doris Lloyd
nm0184738,William J. Cowen
nm0251755,Sally Eilers
nm0850666,Abel Tarride
nm0003579,Magda Schneider
nm0345073,Gustaf Gründgens
nm0649097,Max Ophüls
nm0922818,Helen Westley
nm0595451,Philip Moeller
nm0908063,Nella Walker
nm0706368,George Raft
nm0532997,Helen Mack
nm0282549,James Flood
nm0794297,Anne Shirley
nm0114805,Tom Brown
nm0373773,O.P. Heggie
nm0629519,George Nichols Jr.
nm0546621,Gilles Margaritis
nm0897118,Jean Vigo
nm0088285,Billy Bletcher
nm0385695,Margie Hines
nm0293989,Friz Freleng
nm0001784,Gloria Stuart
nm0267670,Morgan Farley
nm0815433,Ann Sothern
nm0624756,Roy William Neill
nm0590055,John Mills
nm0903687,Frank Vosper
nm0280242,Geraldine Fitzgerald
nm0615868,Bernard Vorhaus
nm0402437,Eleanor Hunt
nm0102908,Robert N. Bradbury
nm0001479,Carole Lombard
nm0709491,Sally Rand
nm0500552,Mitchell Leisen
nm0122783,Marion Burns
nm0176699,Jack Conway
nm0001870,Robert Young
nm0171874,William Collier Sr.
nm0001055,Claudette Colbert
nm0929925,Warren William
nm0928295,Henry Wilcoxon
nm0713270,Gene Raymond
nm0804375,Alison Skipworth
nm0115558,Nigel Bruce
nm0129894,Louis Calhern
nm0085782,Sidney Blackmer
nm0498174,Rowland V. Lee
nm0706978,Jack Raine
nm0908076,Norman Walker
nm0779540,Margaretta Scott
nm0528785,Ralph Lynn
nm0362823,Robertson Hare
nm0093988,Lilian Bond
nm0909398,Tom Walls
nm0842981,Basil Sydney
nm0728226,Arthur Riscoe
nm0303120,Carmine Gallone
nm0401434,Henry Hull
nm0943553,Jane Wyatt
nm0908234,Stuart Walker
nm0851136,Harry Tate
nm0540763,H.F. Maltby
nm0175369,Walter Connolly
nm0439850,Roscoe Karns
nm0397427,Kathleen Howard
nm0746169,Jean Rouverol
nm0534985,Julian Madison
nm0262337,Al Eugster
nm0115597,Virginia Bruce
nm0868456,David Torrence
nm0614278,George Murphy
nm0007219,Donald Cook
nm0906940,Raymond Walburn
nm0401729,Benita Hume
nm0870543,Lee Tracy
nm0292433,William Frawley
nm0217306,Dorothy Dell
nm0001948,Charles Bickford
nm0000073,Shirley Temple
nm0355284,Alexander Hall
nm0294094,Harold French
nm0446532,Judy Kelly
nm0178057,George A. Cooper
nm0919700,Ben Welden
nm0122817,Neal Burns
nm0002935,Moe Howard
nm0004310,Larry Fine
nm0397219,Curly Howard
nm0564971,Ray McCarey
nm0431889,Arline Judge
nm0867144,Franchot Tone
nm0138479,Tullio Carminati
nm0485647,Sidney Lanfield
nm0000012,Bette Davis
nm0001366,Leslie Howard
nm0425512,Kay Johnson
nm0188669,John Cromwell
nm0520323,Violet Loraine
nm0930539,Emlyn Williams
nm0002061,Maurice Elvey
nm0001120,Vittorio De Sica
nm0590268,Milly
nm0683647,Camillo Pilotto
nm0560395,Mario Mattoli
nm0543169,Lucie Mannheim
nm0000861,Freddie Bartholomew
nm0001577,Maureen O'Sullivan
nm0000974,Walter Brennan
nm0872456,Claire Trevor
nm0657874,Eugene Pallette
nm0024669,Adrienne Ames
nm0113873,Joe E. Brown
nm0255012,Patricia Ellis
nm0307326,William Gargan
nm0000923,Busby Berkeley
nm0642988,Jack Oakie
nm0920074,William A. Wellman
nm0001224,Errol Flynn
nm0000014,Olivia de Havilland
nm0001651,Basil Rathbone
nm0235897,Johnny Downs
nm0121259,Betty Burgess
nm0355095,Jack Haley
nm0222596,Andy Devine
nm0399955,Rochelle Hudson
nm0756485,K.L. Saigal
nm0764406,Pahadi Sanyal
nm0223347,Krishna Chandra Dey
nm0059400,P.C. Barua
nm0858833,Frankie Thomas
nm0663540,Helen Parrish
nm0000046,Vivien Leigh
nm0669260,George Pearson
nm0936730,Jane Withers
nm0780684,Jackie Searl
nm0018540,Katharine Alexander
nm0837925,Margaret Sullavan
nm0604656,Frank Morgan
nm0000068,Randolph Scott
nm0415591,Dean Jagger
nm0604960,Ralph Morgan
nm0172237,Cora Sue Collins
nm0001682,Mickey Rooney
nm0020703,Judith Allen
nm0368871,Henry Hathaway
nm0516994,Margaret Lockwood
nm0256276,Roy Emerton
nm0372384,Ted Healy
nm0694090,Dick Powell
nm0402842,Ian Hunter
nm0853623,Verree Teasdale
nm0718121,Max Reinhardt
nm0001452,Charles Laughton
nm0137634,Kitty Carlisle
nm0939992,Sam Wood
nm0092683,Mary Boland
nm0733480,May Robson
nm0382957,Seymour Hicks
nm0250038,Henry Edwards
nm0000964,Charles Boyer
nm0390226,Lansing C. Holden
nm0823633,Charles Starrett
nm0913094,Robert Warwick
nm0793477,Marion Shilling
nm0006943,Charles Lamont
nm0146905,Paul Cavanagh
nm0290215,Kay Francis
nm0107575,George Brent
nm0940579,Donald Woods
nm0000071,James Stewart
nm0886754,W.S. Van Dyke
nm0447597,Henry Kendall
nm0954394,Alfred Zeisler
nm0001078,Bing Crosby
nm0526946,Ida Lupino
nm0074949,Elisabeth Bergner
nm0000059,Laurence Olivier
